Model,Accuracy,Precision,Recall,F1-score
Support Vector Machine,0.9887640449438202,0.9889242915471673,0.9887640449438202,0.9887146303592229
Logistic Regression,0.9887640449438202,0.9889330198505514,0.9887640449438202,0.9887431108342624
